id	vault	topic	difficulty	question	choice_a	choice_b	choice_c	choice_d	correct	explanation	source_key
M001	future	電影裡的科學	easy	《極限返航》的星際任務，最適合當成哪種材料？	科幻情境與科學討論入口	真實載人任務紀錄	已完成的工程規格	外星生命發現公告	A	作品能引發提問，但劇情不能直接當科學證據。	movie_film
M002	future	電影裡的科學	medium	NASA曾提供電影科學諮詢，代表所有設定都已實現嗎？	不代表，諮詢與實現不同	代表，電影就是任務文件	代表，所有設備已量產	代表，所有情節都經實驗	A	科學諮詢有助創作，不能取代每個設定的獨立驗證。	movie_consult
M003	future	電影裡的科學	easy	高速旅行的時間膨脹表示什麼？	不同路徑的鐘可累積不同時間	所有時鐘都壞了	太空人感覺每秒突然變長	時間完全停止	A	固有時間與運動路徑有關，本人身旁正常時鐘仍照常走。	movie_relativity
M004	future	電影裡的科學	medium	飛船內的人看自己的手錶，會覺得它慢動作嗎？	不會，局部生活照常	會，所有秒針都停住	會，思考也完全停止	會，光不能進入眼睛	A	時間差需比較不同觀察者或重逢時的時鐘。	movie_relativity
M005	future	電影裡的科學	easy	忽略引力、以0.8倍光速等速飛行，地球系10年對應船上約？	6年	10年	16.7年	0年	A	船上固有時間等於10乘根號下1減0.8平方，即6年。	movie_relativity
M006	future	電影裡的科學	medium	0.8倍光速的理想計算，省略了哪類條件？	加減速與完整往返路徑	地球系的時間單位	速度與光速的比例	題目給的10年	A	公式描述指定的等速航段，不自動涵蓋整趟旅行。	movie_relativity
M007	future	電影裡的科學	easy	雙生子重逢年齡差，應比較什麼？	各自完整路徑累積的固有時間	誰拿的手錶比較貴	誰先說自己靜止	誰在電影主角旁邊	A	需比較完整時空路徑，不能只用互相看對方在動作結論。	movie_relativity
M008	future	電影裡的科學	medium	飛得很快就能任意回到過去嗎？	不能由時間膨脹推出這個結論	能，超過音速即可	能，只要關掉手錶	能，任何太空船都行	A	往返年齡差不等於可任意回到自己的過去。	movie_relativity
M009	future	電影裡的科學	easy	比鄰星約4.24光年，光年在這裡代表？	距離	太空船保固期	燃料量	船上必定經過的時間	A	距離還需配合速度及參考系，才能討論航程。	movie_relativity
M010	future	電影裡的科學	medium	把電影中的特殊推進當成現成技術，問題在哪？	混淆設定與工程證據	電影片長不夠	演員不穿白袍	字幕沒有列票房	A	推進性能與能源來源需另行驗證，不能靠情節成立。	movie_consult
M011	future	電影裡的科學	easy	《火星救援》種馬鈴薯，現實最先需要哪類環境？	控制壓力溫度水分與光照的設施	直接裸露在火星地表	只靠紅色土壤	完全不需能源的棚子	A	地球作物需要受控生長條件，火星地表不能直接當農田。	movie_potato
M012	future	電影裡的科學	medium	馬鈴薯讓太空糧食研究感興趣，因為它能提供？	可食用的澱粉質塊莖	無限免費能源	完整且永久的單一飲食	不用水的光合作用	A	它能提供熱量，但不能取代全部營養需求。	movie_potato
M013	future	電影裡的科學	easy	把火星表面碎屑當地球肥沃土壤，忽略了什麼？	養分與生長介質條件不同	兩者顏色完全相同	植物完全不需要養分	土壤只需一個名字	A	火星風化層不是天然成熟農地，栽培介質仍需設計。	movie_potato
M014	future	電影裡的科學	medium	火星資源用於栽培與飲水前，哪種污染物值得注意？	高氯酸鹽	純淨水分子	可見光	普通重力	A	高氯酸鹽等成分需要評估與處理，不能忽略化學安全。	movie_toxic
